index,rating,title,body,review_for,author,location,badge,helpful_count,unhelpful_count,verified_purchase,time_ago,image_count
1,5.0,Classy product,"Battery is long lasting and 8x Zoom is very awesome loved this feature.

Camera quality sound quality is very nice",Review for: Color Deep Blue • Storage 256 GB,Akash Lahariya,Jabalpur,,73,25,True,1 month ago,4
2,5.0,Fabulous!,"I used an iPhone 11 for almost five years, and upgrading to the iPhone 17 Pro feels like a completely new world. The performance jump, the camera quality, and the overall user experience are on anothe...",Review for: Color Silver • Storage 256 GB,faiz ahmad,New Delhi,Gold Reviewer,839,413,True,3 months ago,5
3,5.0,Mind-blowing purchase,Great pick ❤️,Review for: Color Cosmic Orange • Storage 256 GB,SOMANATH  SATAPATHY,Puri,Gold Reviewer,392,187,True,5 months ago,2
4,5.0,Must buy!,One word speechless 🥰🥰🥰,Review for: Color Cosmic Orange • Storage 256 GB,Nikki  Kanth,Dankuni,Gold Reviewer,486,238,True,5 months ago,1
5,5.0,Mind-blowing purchase,Worthy,Review for: Color Silver • Storage 256 GB,Allu Naga Sravani,Visakhapatnam,Silver Reviewer,232,106,True,5 months ago,2
6,5.0,Worth every penny,Great experience..... iphone is iphone,Review for: Color Silver • Storage 512 GB,Flipkart Customer,Hailakandi,,131,61,True,6 months ago,1
7,5.0,Excellent,Nice Phone,Review for: Color Deep Blue • Storage 256 GB,Som Mohapatra,Bhubaneswar,,19,5,True,5 months ago,0
8,5.0,Just wow!,"Upgraded from iPhone 12 to 17 pro 
really awesome 💚
Cosmic orange best colour",Review for: Color Cosmic Orange • Storage 256 GB,pratik pathak,Agra,Silver Reviewer,150,81,True,5 months ago,3
9,5.0,Excellent,"Awesome phone 
Just amazing purchase",Review for: Color Silver • Storage 256 GB,Aasim Syed,Bangalore,Silver Reviewer,231,150,True,6 months ago,0
10,5.0,Best in the market!,Amazing product,Review for: Color Deep Blue • Storage 256 GB,Prakhar Nagpure,Waraseoni,,33,18,True,6 months ago,0
11,5.0,Worth every penny,Great phone and user experience,Review for: Color Deep Blue • Storage 256 GB,Saheb Alam Shaikh,Vasai Virar,,57,38,True,6 months ago,0
12,5.0,Simply awesome,camera 📸 is very good 👍,Review for: Color Silver • Storage 256 GB,Ramvilas Kushwaha,Lalitpur,,8,1,True,2 months ago,0
13,5.0,Great product,"Upgraded from 16 pro. The camera is much better now for the telephoto. Performance is top notch as usual. Heating issue is resolved. Tried extensive gaming, much better than 16 pro.",Review for: Color Deep Blue • Storage 256 GB,Pratim Bora,Tinsukia,,9,3,True,5 months ago,0
14,5.0,Highly recommended,"Premium product
Very nice feel and super built",Review for: Color Cosmic Orange • Storage 256 GB,Amit Agarwal,Jaipur Division,,18,11,True,6 months ago,0
15,5.0,Simply awesome,Amazing phone,Review for: Color Deep Blue • Storage 256 GB,Jatin Joginder Kumar,Noida,,3,,True,16 days ago,2
16,5.0,Terrific,Best mobile,Review for: Color Cosmic Orange • Storage 256 GB,Manwar Mirza,Cuttack District,,86,83,True,5 months ago,3
17,5.0,Simply awesome,Look like wow,Review for: Color Cosmic Orange • Storage 256 GB,Sidharth Jain,Hugli Chinsurah,,14,8,True,6 months ago,0
18,5.0,Simply awesome,It's too good look are flagship parfonce are too good 😊,Review for: Color Deep Blue • Storage 256 GB,DEVEN  GOGRA,Rajkot,,97,98,True,6 months ago,0
19,5.0,Worth every penny,Best,Review for: Color Silver • Storage 512 GB,I WILL STUDY,Salempur,,35,29,True,4 months ago,5
20,5.0,Great product,Great phone,Review for: Color Deep Blue • Storage 256 GB,Sameer Gupta,Mumbai,,11,6,True,6 months ago,0
21,5.0,Mind-blowing purchase,Excellent,Review for: Color Silver • Storage 512 GB,Ravi kant,Ratti Industrial Area,,13,8,True,6 months ago,0
22,5.0,Classy product,Super,Review for: Color Deep Blue • Storage 256 GB,masthan  baig,Haliya,,38,34,True,6 months ago,0
23,5.0,Worth every penny,Nice phone light in weight..but no new feature added.,Review for: Color Cosmic Orange • Storage 512 GB,Vijay  Sharma,New Delhi,,16,10,True,6 months ago,0
24,5.0,Terrific,Super phone,Review for: Color Deep Blue • Storage 512 GB,Prakhar Verma Golu,Lakhimpur,,16,11,True,6 months ago,0
25,5.0,Must buy!,Excellent,Review for: Color Silver • Storage 256 GB,Dewashish Patidar,Biaora,,4,,True,5 months ago,0
26,5.0,Awesome,Superfine,Review for: Color Silver • Storage 256 GB,Flipkart Customer,Solapur,,4,1,True,5 months ago,0
27,5.0,Excellent,Terrific purchase the colour looks awesome orange bhagwa rang 🚩,Review for: Color Cosmic Orange • Storage 256 GB,rahul kashte,Parbhani,,16,13,True,5 months ago,0
28,5.0,Great product,Colour is beautiful. Phone is fantastic.,Review for: Color Cosmic Orange • Storage 512 GB,Flipkart Customer,Gurgaon,,8,5,True,6 months ago,0
